id,name,productCount,subtreeProductCount,parent,numChildren,pathName,children,alsoCount,also
16,Aquarium Pumps & Filters,111,3633,10,6,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Pumps & Filters']","[17, 41, 222, 257, 275, 281]",0,[]
17,Air Pump Accessories,524,524,16,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Pumps & Filters', 'Air Pump Accessories']",[],0,[]
18,Supplements & Vitamins,251,1477,3,6,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Supplements & Vitamins']","[19, 36, 44, 171, 314, 521]",0,[]
19,Herbal Supplements,83,83,18,0,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Supplements & Vitamins', 'Herbal Supplements']",[],0,[]
20,Health Supplies,159,1323,8,13,"['Pet Supplies', 'Cats', 'Health Supplies']","[21, 31, 74, 108, 172, 277, 357, 397, 488, 511, 544, 562, 628]",0,[]
21,Supplements & Vitamins,97,387,20,5,"['Pet Supplies', 'Cats', 'Health Supplies', 'Supplements & Vitamins']","[22, 107, 173, 313, 465]",0,[]
22,Herbal Supplements,46,46,21,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Supplements & Vitamins', 'Herbal Supplements']",[],0,[]
23,Apparel & Accessories,211,7444,2,20,"['Pet Supplies', 'Dogs', 'Apparel & Accessories']","[24, 116, 242, 336, 338, 469, 474, 478, 496, 497, 498, 503, 519, 525, 611, 803, 901, 1146, 1152, 1216]",0,[]
24,Cold Weather Coats,1118,1190,23,4,"['Pet Supplies', 'Dogs', 'Apparel & Accessories', 'Cold Weather Coats']","[1124, 1142, 1156, 1224]",0,[]
25,Feeding & Watering Supplies,133,2078,2,8,"['Pet Supplies', 'Dogs', 'Feeding & Watering Supplies']","[59, 98, 130, 142, 202, 227, 333, 508]",0,[]
26,Treats,329,6805,2,8,"['Pet Supplies', 'Dogs', 'Treats']","[27, 75, 150, 158, 342, 482, 621, 712]",0,[]
27,"Cookies, Biscuits & Snacks",139,3708,26,3,"['Pet Supplies', 'Dogs', 'Treats', 'Cookies, Biscuits & Snacks']","[28, 160, 200]",0,[]
28,Snacks,3128,3128,27,0,"['Pet Supplies', 'Dogs', 'Treats', 'Cookies, Biscuits & Snacks', 'Snacks']",[],0,[]
29,Relaxants,118,118,3,0,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Relaxants']",[],0,[]
30,Feeding & Watering Supplies,82,841,8,7,"['Pet Supplies', 'Cats', 'Feeding & Watering Supplies']","[131, 134, 165, 212, 467, 595, 1002]",0,[]
31,Hip & Joint Care,116,116,20,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Hip & Joint Care']",[],0,[]
32,Grooming,272,3382,2,15,"['Pet Supplies', 'Dogs', 'Grooming']","[33, 56, 126, 129, 163, 175, 211, 269, 328, 348, 370, 372, 379, 412, 509]",0,[]
33,Shampoos & Conditioners,17,1286,32,3,"['Pet Supplies', 'Dogs', 'Grooming', 'Shampoos & Conditioners']","[34, 178, 481]",0,[]
34,Shampoos,1028,1029,33,1,"['Pet Supplies', 'Dogs', 'Grooming', 'Shampoos & Conditioners', 'Shampoos']",[1380],0,[]
35,Digestive Remedies,145,145,3,0,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Digestive Remedies']",[],0,[]
36,Multivitamins,416,416,18,0,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Supplements & Vitamins', 'Multivitamins']",[],0,[]
37,Collars,708,6413,12,6,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Collars']","[38, 52, 196, 210, 473, 724]",0,[]
38,Bark Collars,336,337,37,1,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Collars', 'Bark Collars']",[1385],0,[]
39,Leashes,136,3306,12,4,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Leashes']","[40, 115, 351, 490]",0,[]
40,Basic Leashes,2817,2819,39,2,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Leashes', 'Basic Leashes']","[1100, 1340]",0,[]
41,Filter Accessories,1957,1957,16,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Pumps & Filters', 'Filter Accessories']",[],0,[]
42,Top Dog Supplies,116,116,1,0,"['Pet Supplies', 'Top Dog Supplies']",[],0,[]
43,Training & Behavior Aids,233,2158,2,9,"['Pet Supplies', 'Dogs', 'Training & Behavior Aids']","[91, 97, 101, 132, 201, 244, 341, 386, 524]",0,[]
44,Probiotics,453,453,18,0,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Supplements & Vitamins', 'Probiotics']",[],0,[]
45,Aquarium Lights,946,946,10,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Lights']",[],0,[]
46,Memorials,676,676,2,0,"['Pet Supplies', 'Dogs', 'Memorials']",[],0,[]
47,Aquarium Substrate,3,398,10,2,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Substrate']","[48, 302]",0,[]
48,Gravel,269,269,47,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Substrate', 'Gravel']",[],0,[]
49,Aquarium Heaters,220,220,10,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Heaters']",[],0,[]
50,Flea & Tick Control,62,571,2,8,"['Pet Supplies', 'Dogs', 'Flea & Tick Control']","[51, 69, 169, 176, 207, 326, 539, 543]",0,[]
51,Flea Drops,261,261,50,0,"['Pet Supplies', 'Dogs', 'Flea & Tick Control', 'Flea Drops']",[],0,[]
52,Basic Collars,4818,4829,37,6,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Collars', 'Basic Collars']","[705, 879, 1070, 1072, 1210, 1263]",0,[]
53,"Doors, Gates & Ramps",111,659,2,5,"['Pet Supplies', 'Dogs', 'Doors, Gates & Ramps']","[60, 135, 136, 195, 979]",0,[]
54,"Collars, Harnesses & Leashes",6,647,8,5,"['Pet Supplies', 'Cats', 'Collars, Harnesses & Leashes']","[55, 399, 461, 729, 1209]",0,[]
55,Collars,320,498,54,3,"['Pet Supplies', 'Cats', 'Collars, Harnesses & Leashes', 'Collars']","[493, 1064, 1227]",0,[]
56,Shedding Tools,73,73,32,0,"['Pet Supplies', 'Dogs', 'Grooming', 'Shedding Tools']",[],0,[]
57,Toys,542,6277,2,7,"['Pet Supplies', 'Dogs', 'Toys']","[58, 80, 114, 121, 128, 147, 164]",0,[]
58,Balls,876,877,57,1,"['Pet Supplies', 'Dogs', 'Toys', 'Balls']",[600],0,[]
59,Nursing Supplies,36,36,25,0,"['Pet Supplies', 'Dogs', 'Feeding & Watering Supplies', 'Nursing Supplies']",[],0,[]
60,Playpens,184,184,53,0,"['Pet Supplies', 'Dogs', 'Doors, Gates & Ramps', 'Playpens']",[],0,[]
61,"Crates, Houses & Pens",123,1103,2,5,"['Pet Supplies', 'Dogs', 'Crates, Houses & Pens']","[62, 229, 324, 480, 629]",0,[]
62,Crates & Kennels,69,670,61,3,"['Pet Supplies', 'Dogs', 'Crates, Houses & Pens', 'Crates & Kennels']","[66, 323, 820]",0,[]
63,Birds,133,4728,1,7,"['Pet Supplies', 'Birds']","[64, 79, 81, 82, 99, 286, 476]",0,[]
64,Cages & Accessories,121,1508,63,10,"['Pet Supplies', 'Birds', 'Cages & Accessories']","[65, 77, 78, 312, 340, 345, 346, 359, 360, 362]",0,[]
65,Birdcages,580,580,64,0,"['Pet Supplies', 'Birds', 'Cages & Accessories', 'Birdcages']",[],0,[]
66,Kennels,158,158,62,0,"['Pet Supplies', 'Dogs', 'Crates, Houses & Pens', 'Crates & Kennels', 'Kennels']",[],0,[]
67,Harnesses,158,2602,12,5,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Harnesses']","[68, 214, 533, 586, 1285]",0,[]
68,Vest Harnesses,911,912,67,1,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Harnesses', 'Vest Harnesses']",[1281],0,[]
69,Flea & Tick Collars,41,41,50,0,"['Pet Supplies', 'Dogs', 'Flea & Tick Control', 'Flea & Tick Collars']",[],0,[]
70,Beds & Furniture,184,1958,2,8,"['Pet Supplies', 'Dogs', 'Beds & Furniture']","[71, 138, 246, 507, 532, 574, 619, 793]",0,[]
71,Beds,1321,1321,70,0,"['Pet Supplies', 'Dogs', 'Beds & Furniture', 'Beds']",[],0,[]
72,Dental Care,66,201,3,2,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Dental Care']","[73, 356]",0,[]
73,Toothpaste,62,62,72,0,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Dental Care', 'Toothpaste']",[],0,[]
74,Dental Care,165,165,20,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Dental Care']",[],0,[]
75,Jerky,285,285,26,0,"['Pet Supplies', 'Dogs', 'Treats', 'Jerky']",[],0,[]
76,Live Plants,38,38,11,0,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Dcor', 'Live Plants']",[],0,[]
77,Perches,356,357,64,1,"['Pet Supplies', 'Birds', 'Cages & Accessories', 'Perches']",[1384],0,[]
78,Bedding & Litter,40,40,64,0,"['Pet Supplies', 'Birds', 'Cages & Accessories', 'Bedding & Litter']",[],0,[]
79,Food,1158,1158,63,0,"['Pet Supplies', 'Birds', 'Food']",[],0,[]
80,Squeak Toys,2347,2347,57,0,"['Pet Supplies', 'Dogs', 'Toys', 'Squeak Toys']",[],0,[]
81,Health Supplies,352,352,63,0,"['Pet Supplies', 'Birds', 'Health Supplies']",[],0,[]
82,Toys,1051,1051,63,0,"['Pet Supplies', 'Birds', 'Toys']",[],0,[]
83,Carriers & Travel Products,205,1480,2,9,"['Pet Supplies', 'Dogs', 'Carriers & Travel Products']","[84, 233, 337, 512, 516, 542, 575, 596, 715]",0,[]
84,Car Travel Accessories,72,418,83,4,"['Pet Supplies', 'Dogs', 'Carriers & Travel Products', 'Car Travel Accessories']","[85, 127, 137, 306]",0,[]
85,Seat Covers,113,113,84,0,"['Pet Supplies', 'Dogs', 'Carriers & Travel Products', 'Car Travel Accessories', 'Seat Covers']",[],0,[]
86,Ornaments,822,824,11,1,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Dcor', 'Ornaments']",[914],0,[]
87,Horses,7,1800,1,10,"['Pet Supplies', 'Horses']","[88, 92, 94, 182, 185, 318, 548, 550, 594, 614]",0,[]
88,Pest Control,2,112,87,2,"['Pet Supplies', 'Horses', 'Pest Control']","[89, 582]",0,[]
89,Fly Repellents,42,42,88,0,"['Pet Supplies', 'Horses', 'Pest Control', 'Fly Repellents']",[],0,[]
90,Toys,238,1800,8,5,"['Pet Supplies', 'Cats', 'Toys']","[110, 112, 113, 148, 627]",0,[]
91,Agility Equipment,43,75,43,3,"['Pet Supplies', 'Dogs', 'Training & Behavior Aids', 'Agility Equipment']","[598, 680, 873]",0,[]
92,Farrier Supplies,2,59,87,3,"['Pet Supplies', 'Horses', 'Farrier Supplies']","[93, 243, 689]",0,[]
93,Tools,41,41,92,0,"['Pet Supplies', 'Horses', 'Farrier Supplies', 'Tools']",[],0,[]
94,Stable Supplies,2,446,87,3,"['Pet Supplies', 'Horses', 'Stable Supplies']","[95, 530, 552]",0,[]
95,Tack Care & Storage,4,182,94,2,"['Pet Supplies', 'Horses', 'Stable Supplies', 'Tack Care & Storage']","[96, 184]",0,[]
96,Tack Storage,111,111,95,0,"['Pet Supplies', 'Horses', 'Stable Supplies', 'Tack Care & Storage', 'Tack Storage']",[],0,[]
97,Repellents,203,533,43,3,"['Pet Supplies', 'Dogs', 'Training & Behavior Aids', 'Repellents']","[177, 226, 549]",0,[]
98,Food Storage,131,131,25,0,"['Pet Supplies', 'Dogs', 'Feeding & Watering Supplies', 'Food Storage']",[],0,[]
99,Feeding & Watering Supplies,23,375,63,2,"['Pet Supplies', 'Birds', 'Feeding & Watering Supplies']","[100, 504]",0,[]
100,Feeders,332,332,99,0,"['Pet Supplies', 'Birds', 'Feeding & Watering Supplies', 'Feeders']",[],0,[]
101,Training Collars,649,649,43,0,"['Pet Supplies', 'Dogs', 'Training & Behavior Aids', 'Training Collars']",[],0,[]
102,Aquariums & Fish Bowls,58,548,10,3,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquariums & Fish Bowls']","[103, 259, 354]",0,[]
103,Aquariums,259,260,102,1,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquariums & Fish Bowls', 'Aquariums']",[683],0,[]
104,Litter & Housebreaking,173,1403,8,11,"['Pet Supplies', 'Cats', 'Litter & Housebreaking']","[105, 109, 153, 256, 258, 368, 369, 576, 585, 623, 661]",0,[]
105,Litter Boxes,140,281,104,3,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Boxes']","[106, 149, 540]",0,[]
106,Self-Cleaning Litter Boxes,54,54,105,0,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Boxes', 'Self-Cleaning Litter Boxes']",[],0,[]
107,Fish Oil Supplements,47,47,21,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Supplements & Vitamins', 'Fish Oil Supplements']",[],0,[]
108,Ear Care,116,116,20,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Ear Care']",[],0,[]
109,Odor & Stain Removers,325,325,104,0,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Odor & Stain Removers']",[],0,[]
110,Catnip Toys,495,495,90,0,"['Pet Supplies', 'Cats', 'Toys', 'Catnip Toys']",[],0,[]
111,Pet Supplies,39,39,1,0,"['Pet Supplies', 'Pet Supplies']",[],0,[]
112,Mice & Animal Toys,686,686,90,0,"['Pet Supplies', 'Cats', 'Toys', 'Mice & Animal Toys']",[],0,[]
113,Balls,237,237,90,0,"['Pet Supplies', 'Cats', 'Toys', 'Balls']",[],0,[]
114,Ropes,635,635,57,0,"['Pet Supplies', 'Dogs', 'Toys', 'Ropes']",[],0,[]
115,Hands Free Leashes,55,55,39,0,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Leashes', 'Hands Free Leashes']",[],0,[]
116,Costumes,860,937,23,52,"['Pet Supplies', 'Dogs', 'Apparel & Accessories', 'Costumes']","[608, 631, 637, 732, 738, 747, 763, 768, 814, 817, 838, 842, 846, 849, 852, 863, 874, 896, 909, 929, 931, 936, 942, 943, 951, 955, 964, 967, 980, 984, 985, 1023, 1036, 1041, 1069, 1071, 1089, 1093, 1096, 1115, 1186, 1187, 1221, 1245, 1248, 1255, 1257, 1270, 1278, 1300, 1307, 1324]",0,[]
117,Dehydrated/Freeze-Dried,12,165,5,2,"['Pet Supplies', 'Dogs', 'Food', 'Dehydrated/Freeze-Dried']","[174, 320]",0,[]
118,Litter & Housebreaking,83,1350,2,5,"['Pet Supplies', 'Dogs', 'Litter & Housebreaking']","[119, 181, 296, 349, 572]",0,[]
119,Pooper Scoopers & Bags,13,429,118,2,"['Pet Supplies', 'Dogs', 'Litter & Housebreaking', 'Pooper Scoopers & Bags']","[120, 413]",0,[]
120,Bags,322,322,119,0,"['Pet Supplies', 'Dogs', 'Litter & Housebreaking', 'Pooper Scoopers & Bags', 'Bags']",[],0,[]
121,Flying Discs,193,193,57,0,"['Pet Supplies', 'Dogs', 'Toys', 'Flying Discs']",[],0,[]
122,Medications,19,19,3,0,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Medications']",[],0,[]
123,Wormers,47,47,3,0,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Wormers']",[],0,[]
124,Flea & Tick Control,39,266,8,8,"['Pet Supplies', 'Cats', 'Flea & Tick Control']","[125, 262, 331, 499, 517, 527, 547, 987]",0,[]
125,Flea Drops,94,94,124,0,"['Pet Supplies', 'Cats', 'Flea & Tick Control', 'Flea Drops']",[],0,[]
126,Claw Care,162,163,32,1,"['Pet Supplies', 'Dogs', 'Grooming', 'Claw Care']",[1065],0,[]
127,Barriers,93,93,84,0,"['Pet Supplies', 'Dogs', 'Carriers & Travel Products', 'Car Travel Accessories', 'Barriers']",[],0,[]
128,Ball Launchers,13,13,57,0,"['Pet Supplies', 'Dogs', 'Toys', 'Ball Launchers']",[],0,[]
129,Brushes,329,329,32,0,"['Pet Supplies', 'Dogs', 'Grooming', 'Brushes']",[],0,[]
130,Automatic Feeders,87,89,25,2,"['Pet Supplies', 'Dogs', 'Feeding & Watering Supplies', 'Automatic Feeders']","[772, 1342]",0,[]
131,Fountains,94,94,30,0,"['Pet Supplies', 'Cats', 'Feeding & Watering Supplies', 'Fountains']",[],0,[]
132,Radio & Wireless Fences,199,199,43,0,"['Pet Supplies', 'Dogs', 'Training & Behavior Aids', 'Radio & Wireless Fences']",[],0,[]
133,Brushes,156,156,9,0,"['Pet Supplies', 'Cats', 'Grooming', 'Brushes']",[],0,[]
134,Automatic Feeders,64,64,30,0,"['Pet Supplies', 'Cats', 'Feeding & Watering Supplies', 'Automatic Feeders']",[],0,[]
135,Doorbells,89,89,53,0,"['Pet Supplies', 'Dogs', 'Doors, Gates & Ramps', 'Doorbells']",[],0,[]
136,Safety Ramps,12,12,53,0,"['Pet Supplies', 'Dogs', 'Doors, Gates & Ramps', 'Safety Ramps']",[],0,[]
137,Vehicle Ramps,28,28,84,0,"['Pet Supplies', 'Dogs', 'Carriers & Travel Products', 'Car Travel Accessories', 'Vehicle Ramps']",[],0,[]
138,Stairs & Steps,24,117,70,2,"['Pet Supplies', 'Dogs', 'Beds & Furniture', 'Stairs & Steps']","[139, 538]",0,[]
139,Steps,69,69,138,0,"['Pet Supplies', 'Dogs', 'Beds & Furniture', 'Stairs & Steps', 'Steps']",[],0,[]
140,Wet,24,954,5,3,"['Pet Supplies', 'Dogs', 'Food', 'Wet']","[141, 162, 170]",0,[]
141,Canned,827,827,140,0,"['Pet Supplies', 'Dogs', 'Food', 'Wet', 'Canned']",[],0,[]
142,Water Bottles,78,78,25,0,"['Pet Supplies', 'Dogs', 'Feeding & Watering Supplies', 'Water Bottles']",[],0,[]
143,Small Animals,15,2260,1,11,"['Pet Supplies', 'Small Animals']","[144, 208, 237, 272, 317, 339, 383, 400, 406, 407, 410]",0,[]
144,Food,508,508,143,0,"['Pet Supplies', 'Small Animals', 'Food']",[],0,[]
145,Food,207,2365,8,3,"['Pet Supplies', 'Cats', 'Food']","[146, 156, 322]",0,[]
146,Dry,691,691,145,0,"['Pet Supplies', 'Cats', 'Food', 'Dry']",[],0,[]
147,Chew Toys,1583,1583,57,0,"['Pet Supplies', 'Dogs', 'Toys', 'Chew Toys']",[],0,[]
148,Feather Toys,130,130,90,0,"['Pet Supplies', 'Cats', 'Toys', 'Feather Toys']",[],0,[]
149,Standard Litter Boxes,82,84,105,1,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter Boxes', 'Standard Litter Boxes']",[438],0,[]
150,Bones,553,553,26,0,"['Pet Supplies', 'Dogs', 'Treats', 'Bones']",[],0,[]
151,Treats,63,623,8,2,"['Pet Supplies', 'Cats', 'Treats']","[152, 321]",0,[]
152,Snacks,447,447,151,0,"['Pet Supplies', 'Cats', 'Treats', 'Snacks']",[],0,[]
153,Litter,312,312,104,0,"['Pet Supplies', 'Cats', 'Litter & Housebreaking', 'Litter']",[],0,[]
154,Beds & Furniture,91,2523,8,9,"['Pet Supplies', 'Cats', 'Beds & Furniture']","[155, 204, 217, 225, 376, 377, 463, 518, 624]",0,[]
155,Scratching Pads,187,187,154,0,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Scratching Pads']",[],0,[]
156,Wet,52,1454,145,2,"['Pet Supplies', 'Cats', 'Food', 'Wet']","[157, 483]",0,[]
157,Canned,1362,1362,156,0,"['Pet Supplies', 'Cats', 'Food', 'Wet', 'Canned']",[],0,[]
158,Rawhide,567,1681,26,6,"['Pet Supplies', 'Dogs', 'Treats', 'Rawhide']","[206, 228, 355, 464, 973, 1260]",0,[]
159,Food Toppers,20,20,5,0,"['Pet Supplies', 'Dogs', 'Food', 'Food Toppers']",[],0,[]
160,Biscuits,328,328,27,0,"['Pet Supplies', 'Dogs', 'Treats', 'Cookies, Biscuits & Snacks', 'Biscuits']",[],0,[]
161,Food,1403,1409,10,1,"['Pet Supplies', 'Fish & Aquatic Pets', 'Food']",[823],0,[]
162,Pouches,60,60,140,0,"['Pet Supplies', 'Dogs', 'Food', 'Wet', 'Pouches']",[],0,[]
163,Grooming Wipes,93,93,32,0,"['Pet Supplies', 'Dogs', 'Grooming', 'Grooming Wipes']",[],0,[]
164,Plush Toys,87,87,57,0,"['Pet Supplies', 'Dogs', 'Toys', 'Plush Toys']",[],0,[]
165,Food Storage,44,44,30,0,"['Pet Supplies', 'Cats', 'Feeding & Watering Supplies', 'Food Storage']",[],0,[]
166,Pet Content - Main,0,163,1,1,"['Pet Supplies', 'Pet Content - Main']",[167],0,[]
167,Pet Content - Dog Main,0,163,166,1,"['Pet Supplies', 'Pet Content - Main', 'Pet Content - Dog Main']",[168],0,[]
168,Dog Food,163,163,167,0,"['Pet Supplies', 'Pet Content - Main', 'Pet Content - Dog Main', 'Dog Food']",[],0,[]
169,Tick Remover Tools,16,16,50,0,"['Pet Supplies', 'Dogs', 'Flea & Tick Control', 'Tick Remover Tools']",[],0,[]
170,Rolls,43,43,140,0,"['Pet Supplies', 'Dogs', 'Food', 'Wet', 'Rolls']",[],0,[]
171,Antioxidants,92,92,18,0,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Supplements & Vitamins', 'Antioxidants']",[],0,[]
172,Digestive Remedies,85,85,20,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Digestive Remedies']",[],0,[]
173,Antioxidants,54,54,21,0,"['Pet Supplies', 'Cats', 'Health Supplies', 'Supplements & Vitamins', 'Antioxidants']",[],0,[]
174,Dehydrated,46,46,117,0,"['Pet Supplies', 'Dogs', 'Food', 'Dehydrated/Freeze-Dried', 'Dehydrated']",[],0,[]
175,Styptic Gels & Powders,26,26,32,0,"['Pet Supplies', 'Dogs', 'Grooming', 'Styptic Gels & Powders']",[],0,[]
176,Flea Shampoos,49,49,50,0,"['Pet Supplies', 'Dogs', 'Flea & Tick Control', 'Flea Shampoos']",[],0,[]
177,Spray Repellents,314,314,97,0,"['Pet Supplies', 'Dogs', 'Training & Behavior Aids', 'Repellents', 'Spray Repellents']",[],0,[]
178,Conditioners,188,188,33,0,"['Pet Supplies', 'Dogs', 'Grooming', 'Shampoos & Conditioners', 'Conditioners']",[],0,[]
179,Aquarium Water Treatments,1304,1305,10,1,"['Pet Supplies', 'Fish & Aquatic Pets', 'Aquarium Water Treatments']",[969],0,[]
180,Recovery Collars & Cones,162,162,3,0,"['Pet Supplies', 'Dogs', 'Health Supplies', 'Recovery Collars & Cones']",[],0,[]
181,Odor & Stain Removers,316,316,118,0,"['Pet Supplies', 'Dogs', 'Litter & Housebreaking', 'Odor & Stain Removers']",[],0,[]
182,Health Supplies,59,427,87,7,"['Pet Supplies', 'Horses', 'Health Supplies']","[183, 522, 535, 536, 837, 935, 1040]",0,[]
183,Wound Care,126,126,182,0,"['Pet Supplies', 'Horses', 'Health Supplies', 'Wound Care']",[],0,[]
184,Tack Care,65,67,95,2,"['Pet Supplies', 'Horses', 'Stable Supplies', 'Tack Care & Storage', 'Tack Care']","[668, 897]",0,[]
185,Grooming & Bathing Supplies,2,233,87,5,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies']","[186, 187, 188, 794, 812]",0,[]
186,Hoof Picks,52,52,185,0,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies', 'Hoof Picks']",[],0,[]
187,Brushes,118,119,185,1,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies', 'Brushes']",[671],0,[]
188,Combs,55,57,185,1,"['Pet Supplies', 'Horses', 'Grooming & Bathing Supplies', 'Combs']",[554],0,[]
189,Try Subscribe & Save,0,106,1,1,"['Pet Supplies', 'Try Subscribe & Save']",[190],0,[]
190,Pets,0,106,189,3,"['Pet Supplies', 'Try Subscribe & Save', 'Pets']","[191, 276, 308]",0,[]
191,Dogs,20,20,190,0,"['Pet Supplies', 'Try Subscribe & Save', 'Pets', 'Dogs']",[],0,[]
192,Pet Behavior Center,0,136,1,5,"['Pet Supplies', 'Pet Behavior Center']","[193, 223, 251, 583, 786]",0,[]
193,Fencing & Containment,2,63,192,2,"['Pet Supplies', 'Pet Behavior Center', 'Fencing & Containment']","[194, 325]",0,[]
194,In-Ground Fencing,7,7,193,0,"['Pet Supplies', 'Pet Behavior Center', 'Fencing & Containment', 'In-Ground Fencing']",[],0,[]
195,Doors,255,257,53,1,"['Pet Supplies', 'Dogs', 'Doors, Gates & Ramps', 'Doors']",[1368],0,[]
196,Slip & Martingale Collars,391,391,37,0,"['Pet Supplies', 'Dogs', 'Collars, Harnesses & Leashes', 'Collars', 'Slip & Martingale Collars']",[],0,[]
197,Bunny Rabbit Central,0,54,1,8,"['Pet Supplies', 'Bunny Rabbit Central']","[198, 298, 484, 502, 510, 650, 986, 1188]",0,[]
